model,feature,coefficient,absolute_coefficient
Expanded clinical logistic model,prior_admissions_12m,0.5423372465782175,0.5423372465782175
Expanded clinical logistic model,chronic_conditions,0.5286442172496665,0.5286442172496665
Expanded clinical logistic model,admission_type_Emergency,0.46224425013691284,0.46224425013691284
Expanded clinical logistic model,length_of_stay_days_imputed,0.3807470725210675,0.3807470725210675
Expanded clinical logistic model,age,0.3480564228849834,0.3480564228849834
Expanded clinical logistic model,discharge_disposition_Skilled Nursing,0.2222959182304027,0.2222959182304027
Expanded clinical logistic model,insurance_type_Unknown,0.04252265718386554,0.04252265718386554
Expanded clinical logistic model,insurance_type_Medicaid,0.0421370927281313,0.0421370927281313
Expanded clinical logistic model,insurance_type_Medicare,0.032414012258005116,0.032414012258005116
Expanded clinical logistic model,primary_diagnosis_Pneumonia,0.031984878737643836,0.031984878737643836
Expanded clinical logistic model,ed_visits_12m,0.030581627866169157,0.030581627866169157
Expanded clinical logistic model,primary_diagnosis_Sepsis,0.026830169213908923,0.026830169213908923
Expanded clinical logistic model,admission_type_Urgent,-0.017919692776464262,0.017919692776464262
Expanded clinical logistic model,discharge_disposition_Home Health,-0.014555339959305202,0.014555339959305202
Expanded clinical logistic model,gender_Male,-0.013551939924049355,0.013551939924049355
