segment_type,segment,patient_count,readmitted_count,readmission_rate,avg_total_care_cost,avg_net_reimbursement_gap
Primary diagnosis,Heart Failure,2422,1071,0.4421965317919075,25104.196267547482,11051.815233374638
Primary diagnosis,Kidney Disease,1827,796,0.43568691844553914,25402.058177339903,11522.864148877943
Primary diagnosis,Sepsis,1164,505,0.4338487972508591,25180.058754295533,11309.509078380706
Primary diagnosis,COPD,1846,798,0.4322860238353196,25571.404696641388,11585.269718309859
Primary diagnosis,Pneumonia,2130,908,0.4262910798122066,25296.444535211267,11317.944497652583
Primary diagnosis,Diabetes,2611,1106,0.42359249329758714,25093.214101876678,11282.590099578705
Admission type,Emergency,7095,3610,0.5088090204369274,25284.951175475686,11332.836775694346
Admission type,Elective,1854,598,0.3225458468176915,25036.457411003237,11066.563360302049
Admission type,Urgent,3051,976,0.31989511635529333,25339.827387741723,11475.995483765168
Discharge disposition,Skilled Nursing,1803,980,0.5435385468663338,25030.536217415418,11134.254387132556
Discharge disposition,Rehab,1247,515,0.41299117882919006,25427.503913392142,11361.092929373996
Discharge disposition,Home,7404,3054,0.41247974068071314,25247.887251485685,11327.772015671439
Discharge disposition,Home Health,1546,635,0.41073738680465716,25454.477749029757,11529.047922330097
Follow-up status,Unknown,2587,1560,0.6030150753768844,25288.269841515266,11243.108766434649
Follow-up status,Scheduled,4120,1638,0.3975728155339806,25250.819888349513,11400.129108790676
Follow-up status,Completed,5293,1986,0.3752125448705838,25254.487430568675,11313.514552154194
Age group,85+,949,515,0.5426765015806112,25366.888746048473,11353.05693361433
Age group,75-84,1491,762,0.5110663983903421,25250.19138832998,11433.007022132795
Age group,65-74,2393,1148,0.47973255328040115,25275.2540576682,11356.855465942332
Age group,50-64,4065,1708,0.42017220172201725,25168.21097908979,11220.239485601773
Age group,35-49,2352,844,0.358843537414966,25344.95924744898,11373.484527659575
Age group,18-34,750,207,0.276,25334.821959999997,11437.851533333334
Chronic condition bucket,5+,1317,821,0.6233864844343204,25264.264730447987,11338.177372817008
Chronic condition bucket,3-4,4181,2072,0.49557522123893805,25183.43803635494,11246.292511360918
Chronic condition bucket,1-2,5497,2038,0.3707476805530289,25341.00258686556,11422.608417986528
Chronic condition bucket,0,1005,253,0.2517412935323383,25135.971830845774,11138.321711442786
Prior admissions bucket,3+,3225,1839,0.5702325581395349,25221.84722170543,11323.809832454237
Prior admissions bucket,2,3206,1481,0.4619463505926388,25101.255492825952,11174.393360374415
Prior admissions bucket,1,3576,1316,0.3680089485458613,25395.4454893736,11469.774223776225
Prior admissions bucket,0,1993,548,0.27496236828901155,25337.149282488714,11327.906317109884
ED visits bucket,2,3139,1398,0.4453647658489965,25417.17779229054,11511.99086069493
ED visits bucket,3+,2305,1010,0.43817787418655096,25305.57581778742,11400.430946591401
ED visits bucket,0,2591,1098,0.4237746043998456,25065.101123118486,11097.311339251255
ED visits bucket,1,3965,1678,0.423203026481715,25237.978216897856,11291.321177805801
